Customer_ID,sentiment_score,duration,zipcode,growthrate_households,wealth_index,population_agegroup,credit_score,median_household_income,median_disposable_income,median_net_worth,median_home_value,probability_appointment_sale,probability_opportunity_appointment,probability_lead_opportunity,probability_enquiry_lead
1,2.5745420811097683,20.774636562026284,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032055892,0.064971342,0.13499926509964089,0.24782667467060848
44,3.666742607570052,30.79040999141951,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032538537,0.065932405,0.13691749017244148,0.25109869865301293
996,3.737741444,0.22861132917406465,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032398657,0.065653924,0.13636189323881487,0.2501517060175863
1378,4.3104410453966135,19.715323653292863,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032565734,0.065986546,0.1370254831240264,0.25128270012392007
2346,2.071097258,32.28617295317584,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032168019,0.065194659,0.1354451965933019,0.24858794954835062
2519,4.147903197524803,80.92088319643197,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032739708,0.066332836,0.1377160516303192,0.25245878582394166
2852,3.791961886,145.42273787270594,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032464937615288014,0.065785884,0.13662519079725288,0.2506005593334035
3397,3.358916144305863,14.121770458638073,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032547617,0.06595048,0.1369535450201581,0.2511601323982783
3705,2.0505344494642945,1.384742631700187,27420,-0.13,91,2,6,56123,47949,132169,181330,0.03201619,0.064892263,0.1348413257959622,0.2475569568271918
4111,4.773193589,20.836780746040667,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032957155,0.066765563,0.1385785738011336,0.25392644605639336
5485,1.197789746717389,54.44729922382236,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032018428,0.064896721,0.13485022986203832,0.24757216383906333
5651,4.746751706668598,29.051458496862892,27420,-0.13,91,2,6,56123,47949,132169,181330,0.03299325,0.066837383,0.138721683,0.25416982226608054
7987,4.779502567642178,8.725511649,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032879779,0.066611593,0.13827172978090807,0.25340448515024705
8488,3.7311180007765214,13.244346522689183,27420,-0.13,91,2,6,56123,47949,132169,181330,0.032792134,0.066437175,0.13792406620711006,0.2528128711447515
2,2.8937426375000856,41.200961749814745,32860,0.46,75,1,3,69568,55234,167553,200365,0.028227121,0.057329301,0.11966480431856452,0.2214182143718696
368,2.483894850368676,18.00434232,32860,0.46,75,1,3,69568,55234,167553,200365,0.028138597,0.057152231062065684,0.11930778241478646,0.22079803731389458
1566,2.424775773845518,71.72485690510928,32860,0.46,75,1,3,69568,55234,167553,200365,0.027992543838688877,0.056860054,0.1187185029784178,0.21977387930513592
1686,1.0644985854888596,8.382271378393568,32860,0.46,75,1,3,69568,55234,167553,200365,0.027676188483828912,0.056227029034679354,0.1174410548255983,0.21755142854235043
5254,2.611558315826523,12.16325493380815,32860,0.46,75,1,3,69568,55234,167553,200365,0.028125445,0.057125922697587206,0.11925473082834326,0.22070586156807115
5465,1.646851113320432,116.86697082165105,32860,0.46,75,1,3,69568,55234,167553,200365,0.028063105044661585,0.057001217,0.11900323464890261,0.22026882071554843
5788,1.0352593331778905,45.535124213636884,32860,0.46,75,1,3,69568,55234,167553,200365,0.027926517465784007,0.056727954,0.11845200585139737,0.21931049486929688
6764,1.9947672378845405,13.166446853679567,32860,0.46,75,1,3,69568,55234,167553,200365,0.028176893663683922,0.057228836,0.11946224921000148,0.22106638886456298
7546,1.4035552084234357,66.74858335138694,32860,0.46,75,1,3,69568,55234,167553,200365,0.028055616435250008,0.056986236,0.11897301966772689,0.22021630613610454
9364,4.426337776909831,7.128936830696016,32860,0.46,75,1,3,69568,55234,167553,200365,0.028824469375149486,0.058523688,0.12207099069901717,0.2255916416892496
9523,4.507955323895942,50.14661927105321,32860,0.46,75,1,3,69568,55234,167553,200365,0.028848231,0.058571184,0.12216660162911896,0.2257572473522924
9875,4.096862232665435,1.7841025703703928,32860,0.46,75,1,3,69568,55234,167553,200365,0.028592808036700945,0.058060578,0.12113843856252693,0.2239754763693662
3,4.418189572808721,24.811795763800486,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017780993812770096,0.036316355,0.076753706,0.14514316676021088
103,3.283628215008579,6.188792661877742,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017714157600842717,0.036181142,0.076474032,0.1446345739772512
525,3.1148292795362105,22.969388257152882,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017695269,0.036142928,0.076394983,0.1444907932695082
980,3.3031698844892388,5.200885425300292,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017730488894149965,0.036214181956359504,0.076542376,0.14475887232856666
1542,4.219867335526741,17.969004504375924,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017774695171777877,0.036303612864812984,0.076727352,0.14509524843648303
3283,4.494222304908355,2.7534836534738543,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017842824,0.036441431,0.077012373,0.14561342655724008
3923,3.460859586387656,34.42570776025067,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017799291,0.036353369444350414,0.076830259,0.1452823538801502
5652,4.307796100336443,31.067625741224845,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017851066780987024,0.036458105339679525,0.077046853,0.145676102
6475,3.811862654178574,24.07973125753982,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017891623682228852,0.036540143,0.077216488,0.14598442060497452
8163,3.173957830834535,48.387036619198156,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017821072,0.03639743,0.076921379,0.14544801380693972
8670,4.446257136999826,31.78736710246026,37140,-0.14,61,2,1,51602,41281,104165,149129,0.018022125118996257,0.036804093744814415,0.077762164,0.14697583963237615
9343,1.5726588311103167,44.13415313,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017497600217738385,0.035742969,0.075567406,0.14298483081094604
9505,1.1313417163355104,94.03679666600613,37140,-0.14,61,2,1,51602,41281,104165,149129,0.017434704,0.035615689,0.075303961,0.1425051605524308
4,2.3600175442395686,2.609334955681558,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035772977,0.072359821,0.14968749300651474,0.27270274513508974
789,4.997401201888801,12.535914929008491,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036807803,0.074411382,0.1537420317604149,0.2794972149486056
898,2.3416272539853877,66.44049431674107,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035999721,0.072809546,0.1505771833541868,0.2741963407896497
1797,4.846445769017787,4.644178262210031,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036583461002548945,0.073966818,0.15286431599071448,0.27802902047318145
2315,1.2656214138419895,21.363898736045066,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035515764,0.07184953,0.14867737886249643,0.2710051576819945
2734,4.240560362981845,19.59551888033557,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036635521,0.074069992,0.15306805797506717,0.27836995953569643
3282,4.904080630097977,9.200254744762114,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036647582938775236,0.074093896,0.153115259,0.2784489334780147
3407,1.0148786432722368,64.40669326905659,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035677278,0.072169979,0.14931177818601016,0.27207154953312984
4420,3.0698440375371647,34.31132514953484,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036122747,0.073053509,0.15105960627982518,0.27500559338107655
4520,2.581956304734281,32.85660148000311,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036184149,0.073175256,0.15130029903757136,0.27540918388917424
5416,4.302685783917912,7.006636219809175,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036529550486899764,0.073859971,0.15265329122392102,0.2776758111811142
5795,1.6934926270300328,38.28905292495524,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035954381,0.072719627,0.15039933679870088,0.2738978957933169
7132,2.090124676160827,2.741769605234204,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035909907,0.072631422,0.15022485964212584,0.27360504648576633
7509,1.8057859265831753,6.056143591498998,49100,-0.07,77,6,3,69365,54849,182435,213017,0.035835815,0.072484466,0.1499341277734395,0.27311694196882164
9278,2.956069521386377,5.3541093941822355,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036238248097532844,0.073282519,0.1515123257402039,0.27576461615584535
9438,2.7684149848311157,26.755887466290844,49100,-0.07,77,6,3,69365,54849,182435,213017,0.036186151,0.073179226,0.15130814616550514,0.2754223399954784
5,4.478598739248685,6.158380988086821,41180,0.18,102,5,1,73866,59107,179115,230844,0.055401011727199356,0.1108742876146569,0.22407266303594275,0.39236989861950244
61,4.731470760506532,0.5102000136592563,41180,0.18,102,5,1,73866,59107,179115,230844,0.055520173844491816,0.11110554149087049,0.22450827156648978,0.39303959338096195
1196,1.6234061462057738,23.12394882152033,41180,0.18,102,5,1,73866,59107,179115,230844,0.054156095,0.1084564672845979,0.21951039640852144,0.38533419856164197
3088,3.918713654588965,8.224412111406618,41180,0.18,102,5,1,73866,59107,179115,230844,0.055601018,0.11126241624227406,0.2248036988045372,0.39349357032422394
4231,2.9037688701908966,13.472050929420366,41180,0.18,102,5,1,73866,59107,179115,230844,0.054876288,0.10985560480319778,0.22215222629669806,0.3894131414748607
7520,3.4162884023962543,44.39469382738791,41180,0.18,102,5,1,73866,59107,179115,230844,0.055577143,0.1112160880591535,0.2247164596487462,0.39335952905804794
7871,3.8508720118341984,17.16039206493725,41180,0.18,102,5,1,73866,59107,179115,230844,0.055794728,0.11163824178099768,0.22551120938239844,0.3945801095589261
6,1.352537723906766,7.428012824466309,24540,2.59,105,4,9,86405,70328,228293,406534,0.32728205480941885,0.5584176943238257,0.828743627,0.9687322983058834
1881,4.068933576636892,21.041134023177165,24540,2.59,105,4,9,86405,70328,228293,406534,0.33396133429358976,0.5674101323889709,0.8361837193262338,0.9713439445694522
2268,2.5449455811963584,24.04453318,24540,2.59,105,4,9,86405,70328,228293,406534,0.33053784741514325,0.5628129312114696,0.8324022847862662,0.9700305404145468
3373,2.5875575723561584,30.318191021139157,24540,2.59,105,4,9,86405,70328,228293,406534,0.33089403646164695,0.5632924033150994,0.8327988394035263,0.9701696311417216
4167,4.415793852058174,0.654791492,24540,2.59,105,4,9,86405,70328,228293,406534,0.3353043055149397,0.5692066961747908,0.8376489034764504,0.9718450803251379
4751,2.380719353182522,99.35452833048791,24540,2.59,105,4,9,86405,70328,228293,406534,0.32918056219170744,0.5609833829618802,0.8308844951866559,0.9694952456012832
4836,1.0597998844169556,5.247623454,24540,2.59,105,4,9,86405,70328,228293,406534,0.32773490133899885,0.5590303813062742,0.829256181,0.9689158006536422
4992,2.3005317136010577,42.729055674196815,24540,2.59,105,4,9,86405,70328,228293,406534,0.32905306318860106,0.5608113189125565,0.8307413732700007,0.9694445293533999
6188,3.668979314532958,0.3531492453585673,24540,2.59,105,4,9,86405,70328,228293,406534,0.33404945619142756,0.5675281357667907,0.8362801735910401,0.9713770681553744
6758,4.356486412424659,45.41885851821708,24540,2.59,105,4,9,86405,70328,228293,406534,0.33577859020222933,0.5698402519113797,0.8381639136812782,0.9720201981374244
8733,4.826110996312036,14.304376471110368,24540,2.59,105,4,9,86405,70328,228293,406534,0.3357564067952016,0.56981063,0.8381398537211686,0.9720120290210904
9471,4.556384970864958,13.894519607957571,24540,2.59,105,4,9,86405,70328,228293,406534,0.33688564571067037,0.5713172027152227,0.8393611003382876,0.9724252027360785
7,4.107193748834523,8.946693179314492,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019327745950175168,0.039442778571473935,0.083207704,0.1568386713928338
441,2.8413162025710603,59.48147708549635,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019128806161520462,0.039040958,0.082379572,0.15534240683838263
578,4.929930322404991,32.37952679641251,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019584884475303377,0.039962021,0.084277244,0.1587691818344461
1365,2.821862288025447,0.5092983151101098,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019251430338112607,0.039288646,0.082890092,0.15626496468958884
2613,4.607664431351531,42.37716031582038,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019565773,0.039923434,0.084197785,0.158625835
3083,1.8552048426509313,34.34550867310349,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019122749551562568,0.039028723614200955,0.082354351,0.1552968170449479
4056,4.802375863724498,159.26165886344862,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019509764754171544,0.039810345996035834,0.083964892,0.15820561313015324
4269,1.584067622368433,31.966848995507455,33620,-0.03,55,5,4,55580,47634,131900,129270,0.018988709720913266,0.038757938,0.08179604,0.15428730389285794
4773,1.7025058622720093,0.7420411654993981,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019125855003059855,0.039034997,0.082367282,0.15532019291724997
5272,2.7293355995146613,51.88828503334053,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019190355926798852,0.039165286,0.082635849,0.1558055855215561
5492,1.036022657057901,2.648223173989273,33620,-0.03,55,5,4,55580,47634,131900,129270,0.018920694318827924,0.038620519338616766,0.081512638,0.15377464134950103
6446,4.326560160677324,10.71934208807488,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019583790877069296,0.039959813075806094,0.084272697,0.15876097975861503
7107,4.035727794458726,1.9529945936949353,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019546747889322647,0.039885021,0.08411868,0.1584831125016194
7532,3.613086263330975,26.53673915189641,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019484052,0.039758426,0.083857958,0.15801263242002217
8078,3.6142429021807714,26.961286325441883,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019381482,0.0395513,0.083431292,0.15724242527245003
8605,1.0737368388029678,4.701391224209996,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019087172678583175,0.038956856,0.082206189,0.15502897599468624
9391,1.0342190804726807,52.148697033104185,33620,-0.03,55,5,4,55580,47634,131900,129270,0.018984055734311944,0.038748536,0.08177665,0.15425223348015749
9648,3.459640343207763,3.1760200925434625,33620,-0.03,55,5,4,55580,47634,131900,129270,0.019494242,0.039779002896557225,0.083900338,0.1580891177699616
8,4.390190532218945,25.000110478632777,35300,-0.02,114,1,1,73724,57009,153200,280075,0.2355877844267824,0.4253080731696903,0.6975417188969684,0.9044629426194071
